Yield_Change_bps,Yield_Change,Analytical_Price_Change,Analytical_Price,RF_Price,XGB_Price,NN_Price,RF_Price_Change,XGB_Price_Change,NN_Price_Change,Analytical_Price_Change_pct,RF_Price_Change_pct,XGB_Price_Change_pct,NN_Price_Change_pct
-53.061224489795904,-0.00530612244897959,0.977373201108268,99.98257320110827,98.77219799999983,99.36273,101.41955778741108,-0.23300200000016957,0.3575287,2.4143577874110775,0.9871938050812159,-0.2353431940950269,0.3611211,2.43861715082751
-44.897959183673464,-0.004489795918367346,0.8262092940560465,99.83140929405604,98.77219799999983,99.36273,101.05460125097447,-0.23300200000016957,0.3575287,2.0494012509744692,0.8345110095793418,-0.2353431940950269,0.3611211,2.0699935467778148
-36.734693877551024,-0.0036734693877551023,0.6753358594363383,99.68053585943635,98.77219799999983,99.36273,100.68964471453786,-0.23300200000016957,0.3575287,1.684444714537861,0.6821216051645149,-0.2353431940950269,0.3611211,1.7013699427281204
-28.571428571428555,-0.0028571428571428554,0.5247528972491425,99.52995289724915,98.77219799999983,99.36273,100.33465983607313,-0.23300200000016957,0.3575287,1.3294598360731271,0.5300255918367344,-0.2353431940950269,0.3611211,1.342818191441588
-20.408163265306115,-0.0020408163265306116,0.3744604074944605,99.37966040749447,98.77219799999983,99.3702,99.99387750516918,-0.23300200000016957,0.36499786,0.9886775051691785,0.37822296959600155,-0.2353431940950269,0.36866534,0.9986116943041159
-12.244897959183675,-0.0012244897959183675,0.22445839017229158,99.22965839017229,98.74746299999983,99.3702,99.65309517426523,-0.2577370000001764,0.36499786,0.6478951742652299,0.2267137384423157,-0.2603267303133334,0.36866534,0.6544051971666437
-4.081632653061206,-0.00040816326530612057,0.07474684528263523,99.07994684528263,98.73530599999982,99.33772,99.31231284336128,-0.2698940000001784,0.33251953,0.3071128433612813,0.07549789837567646,-0.2726058833275205,0.33586067,0.3101987000291715
4.081632653061234,0.00040816326530612344,-0.07467422717450747,98.93052577282549,98.6047439999998,98.904305,98.97153051245733,-0.4004560000002044,-0.10089874,-0.0336694875426673,-0.07542455060391522,-0.40447976469943436,-0.101912566,-0.03400779710830067
12.244897959183675,0.0012244897959183675,-0.22380482719913705,98.78139517280087,98.29867849999984,98.904305,98.65405445976644,-0.7065215000001643,-0.10089874,-0.3511455402335599,-0.22605360849645983,-0.713620597706145,-0.101912566,-0.3546738355496074
20.408163265306115,0.0020408163265306116,-0.37264495479125354,98.63255504520875,98.25083749999988,98.69718,98.35293986366482,-0.7543625000001271,-0.30802155,-0.6522601363351868,-0.37638927530195737,-0.7619423020206282,-0.31111652,-0.6588140181881222
28.571428571428584,0.0028571428571428584,-0.5211946099508574,98.48400539004915,98.18717349999989,98.46198,98.05182526756319,-0.8180265000001157,-0.5432205,-0.9533747324368136,-0.5264315510204084,-0.826245995159967,-0.54867876,-0.962954200826637
36.734693877551024,0.0036734693877551023,-0.6694537926779476,98.33574620732206,97.97688049999994,98.21946,97.75071067146156,-1.028319500000066,-0.7857437,-1.2544893285384404,-0.6761804356518117,-1.038652010197511,-0.7936388,-1.2670943834651516
44.897959183673464,0.004489795918367346,-0.8174225029725247,98.18777749702748,97.90988699999994,98.12103,97.44959607535993,-1.0953130000000613,-0.88417053,-1.5556039246400672,-0.8256359291961681,-1.1063186580099442,-0.8930546,-1.5712345661036666
53.06122448979593,0.005306122448979593,-0.9651007408345893,98.04009925916542,97.84732399999997,97.70469,97.14848147925832,-1.15787600000003,-1.3005142,-1.8567185207416799,-0.9747980316534781,-1.169510288348521,-1.3135817,-1.875374748742167
61.22448979591837,0.006122448979591837,-1.11248850626414,97.89271149373586,97.81997949999997,97.72287,96.85449916360251,-1.1852205000000282,-1.2823334,-2.1507008363974904,-1.1236667430237401,-1.1971295447108112,-1.2952181,-2.172310986087085
69.38775510204084,0.006938775510204084,-1.2595857992611783,97.74561420073883,97.85608249999997,97.72287,96.58637374907372,-1.149117500000031,-1.2823334,-2.418826250926287,-1.2722420633069558,-1.1606637833164632,-1.2952181,-2.4431305132723202
77.55102040816325,0.007755102040816325,-1.4063926198257024,97.59880738017429,97.86854599999997,97.71836,96.31824833454489,-1.1366540000000356,-1.2868423,-2.686951665455112,-1.4205239925031234,-1.1480750506034385,-1.2997724,-2.713950040457584
85.71428571428572,0.008571428571428572,-1.5529089679577146,97.45229103204228,97.860271,97.730934,96.05012292001608,-1.1449290000000047,-1.2742691,-2.9550770799839228,-1.5685125306122452,-1.1564331974482196,-1.2870729,-2.9847695676428336
93.87755102040819,0.00938775510204082,-1.6991348436572136,97.30606515634278,97.858347,97.730934,95.78199750548727,-1.1468530000000072,-1.2742691,-3.2232024945127336,-1.7162076776343196,-1.1583765297176383,-1.2870729,-3.2555890948280832
102.0408163265306,0.01020408163265306,-1.845070246924198,97.16012975307581,97.84843849999999,97.65467,95.51387209095844,-1.156761500000016,-1.3505325,-3.4913279090415585,-1.8636094335693458,-1.1683845899003447,-1.3641026,-3.5264086220133475
110.20408163265307,0.011020408163265306,-1.9907151777586705,97.01448482224133,97.83374399999998,97.64575,95.27429818829243,-1.1714560000000205,-1.3594513,-3.730901811707568,-2.010717798417326,-1.183226739605617,-1.373111,-3.7683897529701147
118.36734693877554,0.011836734693877554,-2.1360696361606304,96.86913036383937,97.80466299999998,97.38151,95.09153371528957,-1.2005370000000255,-1.6236954,-3.9136662847104304,-2.15753277217826,-1.2125999442453785,-1.6400101,-3.952990635552911
126.53061224489795,0.012653061224489795,-2.2811336221300755,96.72406637786993,97.79386749999998,97.28328,94.95035212717013,-1.211332500000026,-1.7219238,-4.054847872829868,-2.304054354852145,-1.2235039169660038,-1.7392255,-4.095590810209835
134.69387755102042,0.013469387755102043,-2.425907135667009,96.579292864333,97.78749299999998,97.195595,94.81801716062773,-1.2177070000000185,-1.8096085,-4.187182839372269,-2.4502825464389844,-1.2299424676683834,-1.8277913,-4.229255472815841
142.8571428571429,0.014285714285714289,-2.5703901767714292,96.43480982322858,97.78749299999998,97.147865,94.68568219408529,-1.2177070000000185,-1.857338,-4.319517805914714,-2.596217346938776,-1.2299424676683834,-1.8760003,-4.362920135421891
151.0204081632653,0.01510204081632653,-2.714582745443335,96.29061725455666,97.78289399999998,97.05134,94.55334722754291,-1.2223060000000174,-1.953865,-4.451852772457087,-2.74185875635152,-1.2345876782229794,-1.9734973,-4.496584798027869
159.18367346938777,0.015918367346938776,-2.8584848416827286,96.14671515831728,97.78289399999998,97.05134,94.43034607571272,-1.2223060000000174,-1.953865,-4.574853924287282,-2.887206774677218,-1.2345876782229794,-1.9734973,-4.620821860152075
167.34693877551024,0.016734693877551023,-3.00209646548961,96.00310353451039,97.78289399999998,96.85614,94.31169706852214,-1.2223060000000174,-2.149063,-4.693502931477866,-3.032261401915869,-1.2345876782229794,-2.170657,-4.740663047474138
175.51020408163265,0.017551020408163264,-3.145417616863976,95.85978238313602,97.76191949999996,96.8829,94.19304806133155,-1.24328050000004,-2.1223068,-4.81215193866845,-3.1770226380674713,-1.2557729290987139,-2.1436317,-4.860504234796202
183.67346938775512,0.018367346938775512,-3.288448295805831,95.71675170419417,97.76191949999996,96.823586,94.07439905414098,-1.24328050000004,-2.1816177,-4.930800945859019,-3.321490483132029,-1.2557729290987139,-2.2035384,-4.980345422118251
191.8367346938776,0.01918367346938776,-3.431188502315173,95.57401149768484,97.76191949999996,96.823586,93.9557500469504,-1.24328050000004,-2.1816177,-5.049449953049603,-3.4656649371095387,-1.2557729290987139,-2.2035384,-5.100186609440315
200.0,0.02,-3.5736382363920005,95.431561763608,97.76191949999996,96.823586,93.83710103975983,-1.24328050000004,-2.1816177,-5.168098960240172,-3.6095460000000004,-1.2557729290987139,-2.2035384,-5.2200277967623645
